12,13,8,9,4,5,0,1,
14,15,10,11,6,7,2,3,
28,29,24,25,20,21,16,17,
30,31,26,27,22,23,18,19,
45,44,40,41,36,37,32,33,
47,46,42,43,38,39,34,35,
60,61,56,57,52,53,48,49,
62,63,58,59,54,55,50,51,
